run_label,temperature,mode,validity,exact_match,aggregation_acc,select_column_acc,table_name_acc,where_column_acc,where_operator_acc,where_value_acc,num_examples
final,0.0,base,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50
final,0.0,fine_tuned,0.72,0.3,0.88,0.76,0.84,0.56,0.94,0.62,50
final,0.0,base_simple_constrained,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50
final,0.0,fine_tuned_simple_constrained,0.0,0.0,0.2,0.14,0.28,0.0,0.04,0.0,50
final,0.0,base_grammar_constrained,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50
final,0.0,fine_tuned_grammar_constrained,0.46,0.1,0.42,0.42,0.48,0.24,0.48,0.22,50
final,0.3,base,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50
final,0.3,fine_tuned,0.64,0.28,0.88,0.78,0.78,0.54,0.94,0.62,50
final,0.3,base_simple_constrained,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50
final,0.3,fine_tuned_simple_constrained,0.0,0.0,0.24,0.22,0.26,0.0,0.02,0.0,50
final,0.3,base_grammar_constrained,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50
final,0.3,fine_tuned_grammar_constrained,0.44,0.08,0.42,0.36,0.44,0.22,0.44,0.22,50
final,0.7,base,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50
final,0.7,fine_tuned,0.38,0.08,0.86,0.7,0.54,0.5,0.96,0.54,50
final,0.7,base_simple_constrained,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50
final,0.7,fine_tuned_simple_constrained,0.0,0.0,0.16,0.16,0.24,0.0,0.04,0.0,50
final,0.7,base_grammar_constrained,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50
final,0.7,fine_tuned_grammar_constrained,0.56,0.14,0.54,0.5,0.56,0.34,0.54,0.24,50
final,1.0,base,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50
final,1.0,fine_tuned,0.34,0.1,0.78,0.68,0.54,0.48,0.9,0.46,50
final,1.0,base_simple_constrained,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50
final,1.0,fine_tuned_simple_constrained,0.0,0.0,0.22,0.2,0.24,0.0,0.04,0.0,50
final,1.0,base_grammar_constrained,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50
final,1.0,fine_tuned_grammar_constrained,0.34,0.04,0.28,0.22,0.34,0.1,0.34,0.18,50
checkpoint-500,0.0,base,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50
checkpoint-500,0.0,checkpoint-500,0.56,0.14,0.78,0.7,0.7,0.48,0.96,0.62,50
checkpoint-500,0.0,base_simple_constrained,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50
checkpoint-500,0.0,checkpoint-500_simple_constrained,0.0,0.0,0.18,0.12,0.22,0.0,0.1,0.02,50
checkpoint-500,0.0,base_grammar_constrained,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50
checkpoint-500,0.0,checkpoint-500_grammar_constrained,0.48,0.04,0.4,0.44,0.5,0.22,0.5,0.2,50
checkpoint-500,0.3,base,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50
checkpoint-500,0.3,checkpoint-500,0.52,0.16,0.8,0.7,0.7,0.5,0.96,0.6,50
checkpoint-500,0.3,base_simple_constrained,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50
checkpoint-500,0.3,checkpoint-500_simple_constrained,0.0,0.0,0.12,0.08,0.14,0.0,0.06,0.0,50
checkpoint-500,0.3,base_grammar_constrained,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50
checkpoint-500,0.3,checkpoint-500_grammar_constrained,0.44,0.02,0.38,0.38,0.46,0.16,0.46,0.18,50
checkpoint-500,0.7,base,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50
