run_label,temperature,mode,validity,exact_match,aggregation_acc,select_column_acc,table_name_acc,where_column_acc,where_operator_acc,where_value_acc,num_examples
final,0.0,base,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
final,0.0,fine_tuned,0.89,0.47,0.87,0.85,1.0,0.74,0.95,0.69,100
final,0.0,base_constrained,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
final,0.0,fine_tuned_constrained,0.57,0.2,0.5,0.52,0.57,0.43,0.56,0.31,100
final,0.3,base,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
final,0.3,fine_tuned,0.89,0.49,0.84,0.85,1.0,0.77,0.96,0.74,100
final,0.3,base_constrained,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
final,0.3,fine_tuned_constrained,0.57,0.2,0.5,0.52,0.57,0.43,0.56,0.31,100
final,0.7,base,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
final,0.7,fine_tuned,0.9,0.43,0.85,0.82,1.0,0.73,0.95,0.63,100
final,0.7,base_constrained,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
final,0.7,fine_tuned_constrained,0.53,0.19,0.45,0.5,0.54,0.42,0.53,0.32,100
final,1.0,base,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
final,1.0,fine_tuned,0.8,0.38,0.82,0.79,1.0,0.68,0.96,0.69,100
final,1.0,base_constrained,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
final,1.0,fine_tuned_constrained,0.58,0.21,0.48,0.51,0.58,0.43,0.56,0.31,100
checkpoint-2500,0.0,base,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
checkpoint-2500,0.0,checkpoint-2500,0.89,0.48,0.87,0.85,1.0,0.75,0.95,0.7,100
checkpoint-2500,0.0,base_constrained,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
checkpoint-2500,0.0,checkpoint-2500_constrained,0.55,0.21,0.48,0.5,0.55,0.42,0.54,0.31,100
checkpoint-2500,0.3,base,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
checkpoint-2500,0.3,checkpoint-2500,0.89,0.45,0.86,0.86,1.0,0.72,0.94,0.68,100
checkpoint-2500,0.3,base_constrained,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
checkpoint-2500,0.3,checkpoint-2500_constrained,0.55,0.2,0.47,0.5,0.55,0.43,0.54,0.3,100
checkpoint-2500,0.7,base,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
checkpoint-2500,0.7,checkpoint-2500,0.85,0.42,0.84,0.83,1.0,0.73,0.95,0.66,100
checkpoint-2500,0.7,base_constrained,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
checkpoint-2500,0.7,checkpoint-2500_constrained,0.57,0.21,0.5,0.52,0.57,0.45,0.56,0.31,100
checkpoint-2500,1.0,base,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
checkpoint-2500,1.0,checkpoint-2500,0.78,0.33,0.83,0.79,0.99,0.72,0.96,0.64,100
checkpoint-2500,1.0,base_constrained,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
checkpoint-2500,1.0,checkpoint-2500_constrained,0.58,0.17,0.46,0.5,0.58,0.44,0.56,0.3,100
checkpoint-3000,0.0,base,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
checkpoint-3000,0.0,checkpoint-3000,0.89,0.46,0.88,0.85,1.0,0.74,0.96,0.71,100
checkpoint-3000,0.0,base_constrained,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
checkpoint-3000,0.0,checkpoint-3000_constrained,0.57,0.2,0.51,0.52,0.57,0.44,0.57,0.32,100
checkpoint-3000,0.3,base,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
checkpoint-3000,0.3,checkpoint-3000,0.88,0.45,0.86,0.85,1.0,0.73,0.96,0.72,100
checkpoint-3000,0.3,base_constrained,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
checkpoint-3000,0.3,checkpoint-3000_constrained,0.56,0.2,0.47,0.51,0.56,0.43,0.55,0.32,100
checkpoint-3000,0.7,base,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
checkpoint-3000,0.7,checkpoint-3000,0.88,0.37,0.84,0.82,1.0,0.73,0.95,0.67,100
checkpoint-3000,0.7,base_constrained,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
checkpoint-3000,0.7,checkpoint-3000_constrained,0.58,0.2,0.49,0.52,0.58,0.45,0.58,0.31,100
checkpoint-3000,1.0,base,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
checkpoint-3000,1.0,checkpoint-3000,0.86,0.4,0.81,0.79,1.0,0.71,0.97,0.7,100
checkpoint-3000,1.0,base_constrained,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
checkpoint-3000,1.0,checkpoint-3000_constrained,0.57,0.2,0.48,0.51,0.57,0.44,0.57,0.33,100
checkpoint-3500,0.0,base,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
checkpoint-3500,0.0,checkpoint-3500,0.89,0.47,0.87,0.85,1.0,0.74,0.95,0.69,100
checkpoint-3500,0.0,base_constrained,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
checkpoint-3500,0.0,checkpoint-3500_constrained,0.57,0.2,0.5,0.52,0.57,0.43,0.56,0.31,100
checkpoint-3500,0.3,base,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
checkpoint-3500,0.3,checkpoint-3500,0.87,0.47,0.87,0.83,1.0,0.75,0.95,0.7,100
checkpoint-3500,0.3,base_constrained,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
checkpoint-3500,0.3,checkpoint-3500_constrained,0.6,0.21,0.52,0.55,0.6,0.45,0.59,0.31,100
checkpoint-3500,0.7,base,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
checkpoint-3500,0.7,checkpoint-3500,0.86,0.44,0.85,0.85,1.0,0.73,0.95,0.68,100
checkpoint-3500,0.7,base_constrained,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
checkpoint-3500,0.7,checkpoint-3500_constrained,0.56,0.2,0.47,0.51,0.56,0.45,0.54,0.31,100
checkpoint-3500,1.0,base,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
checkpoint-3500,1.0,checkpoint-3500,0.84,0.35,0.81,0.79,1.0,0.74,0.96,0.61,100
checkpoint-3500,1.0,base_constrained,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
checkpoint-3500,1.0,checkpoint-3500_constrained,0.54,0.18,0.45,0.48,0.54,0.42,0.53,0.31,100
