run_label,temperature,mode,validity,exact_match,aggregation_acc,select_column_acc,table_name_acc,where_column_acc,where_operator_acc,where_value_acc,num_examples
checkpoint-1500,0.3,checkpoint-1500,0.69,0.25,0.82,0.82,0.79,0.66,0.93,0.65,100
checkpoint-1500,0.3,base_constrained,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
checkpoint-1500,0.3,checkpoint-1500_constrained,0.57,0.17,0.5,0.5,0.58,0.37,0.54,0.31,100
checkpoint-1500,0.7,base,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
checkpoint-1500,0.7,checkpoint-1500,0.49,0.17,0.8,0.73,0.59,0.58,0.88,0.59,100
checkpoint-1500,0.7,base_constrained,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
checkpoint-1500,0.7,checkpoint-1500_constrained,0.55,0.14,0.4,0.49,0.55,0.36,0.51,0.31,100
checkpoint-1500,1.0,base,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
checkpoint-1500,1.0,checkpoint-1500,0.35,0.14,0.81,0.66,0.6,0.53,0.79,0.47,100
checkpoint-1500,1.0,base_constrained,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
checkpoint-1500,1.0,checkpoint-1500_constrained,0.54,0.13,0.41,0.43,0.54,0.31,0.48,0.28,100
